Comment,Designator,Footprint,LCSC
10k,"R14,R2,R8",R_0805_2012Metric,C17414
4.7uF,"C2,C4,C6",C_0805_2012Metric,C1779
300,"R18,R4",R_1206_3216Metric,C17887
100k,"R1,R13,R7",R_1206_3216Metric,C17900
100,"R17,R3",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17901
2N2219,"Q1,Q2",SOT-23,C2146
100nF,"C1,C3,C5",C_1206_3216Metric,C24497
SFH205F,"D1,D2,D7",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,C2693588
22,"R10,R11,R12,R15,R16,R9",R_0402_1005Metric,C2759745
600,"R19,R5",R_0805_2012Metric,C28636
1000,"R20,R6",R_1206_3216Metric,C4410
TSAL4400,"D3,D4,D5,D6,D8,D9",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,C94135
SolderJumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP9,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP13,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP11,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP14,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP12,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP8,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Conn_02x14_Odd_Even,J1,PinHeader_2x14_P2.54mm_Vertical,
